"REF_DATE","GEO","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","UOM","SCALAR_FACTOR","VALUE"
"2006-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584747
"2006-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1583903
"2006-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584884
"2006-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582343
"2006-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1583934
"2006-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1584297
"2006-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1580456
"2006-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582943
"2006-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1586105
"2006-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1597223
"2007-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1596898
"2007-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1604309
"2007-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1607215
"2007-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1608865
"2007-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1615432
"2007-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1619574
"2007-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1618848
"2007-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1623157
"2007-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1620019
"2007-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1621215
"2007-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1622450
"2007-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1616118
"2008-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1621492
"2008-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1619213
"2008-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1618364
"2008-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1623985
"2008-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1625281
"2008-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1630757
"2008-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1640312
"2008-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1637072
"2008-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1635731
"2008-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1635860
"2008-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1617639
"2008-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1596396
"2009-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1582918
"2009-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1576917
"2009-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1566404
"2009-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1561546
"2009-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1558576
"2009-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1558940
"2009-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1563453
"2009-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1565190
"2009-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1575366
"2009-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1577786
"2009-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1587571
"2009-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1591336
"2010-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1601650
"2010-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1606768
"2010-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1614763
"2010-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1613317
"2010-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1622249
"2010-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1625907
"2010-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1626913
"2010-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1632145
"2010-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1632415
"2010-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1639515
"2010-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1644860
"2010-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1656532
"2011-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1661194
"2011-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1660783
"2011-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1666300
"2011-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1668525
"2011-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1664526
"2011-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1670263
"2011-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1682272
"2011-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1691568
"2011-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1694178
"2011-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1694510
"2011-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1695778
"2011-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1703622
"2012-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1702562
"2012-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1698087
"2012-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1702254
"2012-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1708046
"2012-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1710720
"2012-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1711557
"2012-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1714908
"2012-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1712687
"2012-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1712525
"2012-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1711819
"2012-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1720035
"2012-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1719947
"2013-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1728397
"2013-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1736155
"2013-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1743151
"2013-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1745096
"2013-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1749713
"2013-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1742837
"2013-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1752313
"2013-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1760601
"2013-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1766363
"2013-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1776243
"2013-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1778904
"2013-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1770301
"2014-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1775276
"2014-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1785782
"2014-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1787878
"2014-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1794046
"2014-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1800584
"2014-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1805647
"2014-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1806714
"2014-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1803892
"2014-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1815108
"2014-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1822608
"2014-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1821315
"2014-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1824784
"2015-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1818224
"2015-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1817046
"2015-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1815416
"2015-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1813895
"2015-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1810301
"2015-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1817154
"2015-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1824302
"2015-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1828312
"2015-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1820148
"2015-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1821259
"2015-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1825481
"2015-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1828773
"2016-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1838562
"2016-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1834100
"2016-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1827847
"2016-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1830913
"2016-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1817014
"2016-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1825714
"2016-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1838785
"2016-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1842050
"2016-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1849983
"2016-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1850131
"2016-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1858066
"2016-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1862205
"2017-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1871272
"2017-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1875171
"2017-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1882455
"2017-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1893402
"2017-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1900522
"2017-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1905229
"2017-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1908964
"2017-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1907101
"2017-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1911593
"2017-10","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1915353
"2017-11","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1924098
"2017-12","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1928493
"2018-01","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1930585
"2018-02","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1938985
"2018-03","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1944258
"2018-04","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1945559
"2018-05","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1955383
"2018-06","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1957874
"2018-07","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1965526
"2018-08","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1970688
"2018-09","Canada","Seasonally adjusted at annual rates","2012 constant prices","All industries [T001]","Dollars","millions",1972166
